Raza,Foto,Acerca de,Tamaño,No Alergia,País,Categoría de tamaño,Esperanza de vida promedio,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6,Casa,Experiencia,Sociable,Entrenamiento,Actividades,Cuidados,Ejercicio,Guardia
Sabueso Polaco,https://cdn.dogsplanet.com/wp-content/uploads/2019/10/brachet-polonais.jpg.webp,"Los Sabuesos Polacos son perros poderosos con extraordinario olfato y una gran perseverancia, muy apreciados por los cazadores polacos. Usan su ladrido profundo y melódico para mantenerse en contacto durante la caza. Este destacado cazador también es un excelente perro de familia, fácil de mantener, leal con la familia y desconfiado de los extraños. En el pasado, los Sabuesos Polacos se usaban principalmente para cazar liebres, zorros, corzos, jabalíes, y durante la caza de patos, para sacar a los patos silvestres de los juncales. Hoy en día, dado que la caza de liebres con perros está prohibida en la mayor parte de Polonia, los Sabuesos Polacos se usan solo para cazar jabalíes y zorros en todo el país. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Polonia,Grande,13–14 años,Cariñoso,Dócil,Leal,Equilibrado,,,Requiere espacio exterior,,Paciente con niños y otros animales,,,,Necesita mucho ejercicio,
Salud Del Foxhound Inglés ,https://cdn.royalcanin-weshare-online.io/tyJ4wWoBaxEApS7LnBti/v1/bd186bl-hub-english-foxhound-adult-standing?w=320&fm=jpg&auto=compress,"Los Foxhound ingleses son perros fuertes y equilibrados que constituyen el arquetipo de todos los sabuesos europeos grandes. Estos perros llenos de energía, que les permite correr durante horas, nacieron para cazar, pero aun así son afables y nada agresivos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Reino Unido,Grande,10–13 años,Seguro,Afable,Dócil,Independiente,Inteligente,Sociable,,,Un gran perro para una familia,Necesita poco entrenamiento,,,Necesita mucho ejercicio,
Schnauzer Gigante,https://cdn.royalcanin-weshare-online.io/4frVHWsBIYfdNSoC_Bo7/v1/bd65bl-hub-giant-schnauzer-adult-standing?w=320&fm=jpg&auto=compress,"A los Schnauzers Gigantes se les conoce por ser perros grandes, fuertes, robustos más que delgados, y con el pelo ondulado. Estos elegantes perros guardianes, eficaces y siempre alerta, inspiran un gran respeto de forma natural.  Sus sentidos bien desarrollados, su inteligencia natural y su idoneidad para el entrenamiento los convierten en muy buenos compañeros, atletas y trabajadores, especialmente, al tratarse de animales que combinan fuerza, resistencia y velocidad. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),True, Alemania,Grande,12–15 años,Cariñoso,Equilibrado,Leal,Inteligente,Fuerte,Seguro,,,,La educación deberá comenzar pronto,,Necesita cuidados moderados,Necesita mucho ejercicio,
Setter Gordon,https://www.purina.es/sites/default/files/styles/ttt_image_original/public/2021-02/BREED%20Hero%20Desktop_0104_gordon_setter.webp?itok=5-mscqFt,"Esta raza es una verdadera cazadora de campo. Los setter gordons, perros bellos, tranquilos e inteligentes, de expresión pensativa y carácter equilibrado, son sumamente leales a sus familias. Ya que el gordon tiene antecedentes de caza, requiere mucho ejercicio y es inmensamente feliz cuando juega a buscar objetos que se le lanzan o aprende nuevos trucos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Reino Unido,Grande,10–12 años,Inteligente,Seguro,Cariñoso,Equilibrado,,,,,Bueno con las personas,,,Requiere cuidados mínimos,Necesita mucho ejercicio,
Spaniel Picardo,https://cdn.royalcanin-weshare-online.io/sfrwsmoBIYfdNSoCSRiV/v1/bd267bl-hub-picardy-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"Este Spaniel Francés fue la respuesta de los cazadores de la bahía del Somme ante la llegada del Pointer Inglés a principios del siglo XX. Esta raza dócil todavía se utiliza para la caza, pero también es un perro de compañía muy afable. Los Spaniel Picardo son perros de cuerpo armonioso y expresión dócil y llevan la cabeza erguida de una manera alegre e imponente. El estándar oficial se publicó hace más de un siglo y la raza no cambió mucho desde entonces.   Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Francia,Grande,12–14 años,Cariñoso,Tranquilo,Dócil,Sociable,,,,,,,,Requiere cuidados mínimos,Necesita mucho ejercicio,Un gran perro guardián
Terrier Negro De Rusia,https://cdn.royalcanin-weshare-online.io/TPo8x2oBIYfdNSoC3Rlz/v1/bd147bl-hub-russian-black-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los terriers negros de Rusia son perros potentes de tamaño superior a la media, con huesos y músculos sólidos. Este activa (e incluso extremadamente enérgica) raza es resistente y está bien equilibrada, pero es alegre, y siente inclinación por una defensa fuerte. Esta raza florece con el contacto humano y es muy dócil cuando juega con niños. Responde bien a una educación temprana y es adecuado para agility y deportes caninos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Rusia,Grande,10–12 años,Atlético,Seguro,Equilibrado,Protector,Fuerte,Independiente,Requiere espacio exterior,,,,,Requiere cuidados mínimos,,Un gran perro guardián
Vizsla De Pelo Duro,https://cdn.royalcanin-weshare-online.io/dGnCsmoBG95Xk-RBufYo/v3/bd328bl-hub-hungarian-wire-haired-pointer-vizsla-adult-standing?w=320&fm=jpg&auto=compress,"Los Vizsla de Pelo Duro sienten un enorme apego por su propietario; son animales receptivos y fáciles de educar, aunque nunca deben ser educados con dureza Les gusta mantener el contacto con su propietario y realizan las tareas de búsqueda con pasión y perseverancia, empleando su excelente olfato y sus perfectas habilidades para la muestra. Los Vizsla de Pelo Duro se suelen utilizar como perros de terapia gracias a su naturaleza inteligente y paciente. Dicho esto, también necesitan hacer mucho ejercicio debido a sus altos niveles de energía. Estas cualidades los hacen idóneos para muchos deportes caninos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Hungría,Grande,12–14 años,Tranquilo,Alegre,Cariñoso,Inteligente,Seguro,Entusiasta,,,,Requiere mucho entrenamiento,,Requiere cuidados mínimos,,Un gran perro guardián
Boyero De Berna,https://cdn.royalcanin-weshare-online.io/qPotHWsBIYfdNSoCPRp3/v1/bd18bl-hub-bernese-mountain-dog-adult-standing?w=320&fm=jpg&auto=compress,"Originalmente utilizado como perro pastor y guardián en las granjas de la región suiza de Berna, el Boyero de Berna es un perro de trabajo versátil aunque también es muy apreciado como perro de compañía. Su llamativo manto tricolor y su gran capacidad de adaptación le ha hecho ganarse el afecto de familias de todo el mundo. Equilibrado, atento e intrépido en situaciones cotidianas, es simpático y leal con las personas que conoce, a la vez que seguro de sí mismo y tranquilo en presencia de desconocidos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XL (>=45 kg),False, Suiza,Muy grande,8 años,Seguro,Cariñoso,Alerta,Leal,Equilibrado,Tranquilo,Requiere espacio exterior,,Paciente con niños y otros animales,,,,Necesita mucho ejercicio,
Broholmer,https://cdn.royalcanin-weshare-online.io/UPo-x2oBIYfdNSoCwRmA/v1/bd159bl-hub-broholmer-adult-standing?w=320&fm=jpg&auto=compress,"Hoy en día, la mayoría de los broholmers son perros de compañía y de guardia. Su físico y comportamiento son características esenciales de la raza. El broholmer es tranquilo, equilibrado y afable, aunque siempre está en alerta y confiado. Cuando el perro está atento o excitado, lleva la cabeza más alta y eleva la cola por encima de la horizontal. Como tipo, esta raza es conocida desde la Edad Media, cuando se utilizaba para cazar (caza del ciervo). Más adelante, se usó principalmente como perro de guardia para grandes granjas y mansiones. Escasean los ejemplares de esta raza y, de forma excepcional, el club de la raza supervisa a todos los adultos y cachorros nacidos en Dinamarca. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XL (>=45 kg),False, Dinamarca,Muy grande,7–12 años,Tranquilo,Equilibrado,Afable,Seguro,,,Requiere espacio exterior,,,,,,,
Bullmastiff,https://cdn.royalcanin-weshare-online.io/_GlbHWsBG95Xk-RBGPgU/v1/bd44bl-hub-bullmastiff-adult-standing?w=320&fm=jpg&auto=compress," Los bullmastiffs son perros de gran constitución y fuerza Estos perros leales, alegres y siempre alerta tienen fama de ser resistentes, activos y fieles protectores.  A pesar de su gran tamaño, en realidad son perros muy afables y excelentes compañeros de familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XL (>=45 kg),False, Reino Unido,Muy grande,8–10 años,Inteligente,Alerta,Leal,Protector,Fuerte,Alegre,,,,Necesita poco entrenamiento,,Requiere muchos cuidados,Necesita mucho ejercicio físico y mental,
Dogo De Burdeos,https://cdn.royalcanin-weshare-online.io/1_rEHWsBIYfdNSoC7hrn/v1/bd57bl-hub-dogue-de-bordeaux-adult-standing?w=320&fm=jpg&auto=compress,"El Dogo de Burdeos está siempre en alerta y es muy valiente, cualidades que hacen de él un gran perro guardián.  Estos perros son excelentes compañeros de sus propietarios y se vuelven muy apegados a su familia. Son cariñosos con los niños y tolerantes con otros perros. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XL (>=45 kg),False, Francia,Muy grande,8–10 años,Protector,Alerta,Leal,Cariñoso,Tranquilo,Equilibrado,,,Paciente con niños y otros animales,Disfruta del entrenamiento,,,Necesita mucho ejercicio,
Dogo Del Tíbet,https://cdn.royalcanin-weshare-online.io/NCIzx2oBaxEApS7LDhy3/v1/bd111bl-hub-tibetan-mastiff-adult-standing?w=320&fm=jpg&auto=compress,"Los dogos del Tíbet son perros gigantes, vigorosos y de complexión fuerte. Estos perros de aspecto imponente combinan una gran fuerza con una resistencia que les permite trabajar en cualquier clima. Los dogos del Tíbet, son independientes e imponen respeto, siendo protectores de su territorio y muy leales a su familia.  Tienen un crecimiento lento: las hembras tardan de dos a tres años en desarrollarse físicamente por completo, mientras que los machos tardan al menos cuatro años. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XL (>=45 kg),False, Tíbet,Muy grande,10–15 años,Independiente,Protector,Leal,,,,,,,Disfruta del entrenamiento,,Requiere muchos cuidados,,Un gran perro guardián
Gran Danés,https://cdn.royalcanin-weshare-online.io/4vrWHWsBIYfdNSoCshrb/v1/bd66bl-hub-great-dane-adult-standing?w=320&fm=jpg&auto=compress,"De constitución armoniosa y rostro expresivo, el Gran Danés es un gigante dócil. El Granés Danés es alegre y cariñoso con sus compañeros humanos, especialmente con los niños, aunque desconfían de los extraños.  Un Gran Danés seguro de sí mismo, tranquilo y receptivo es un perro de familia altamente tolerante con escasa probabilidad de mostrarse agresivo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XL (>=45 kg),False, Alemania,Muy grande,8–10 años,Afable,Cariñoso,Leal,Tímido,Seguro,Fuerte,Requiere espacio exterior,,,Necesita poco entrenamiento,,Requiere cuidados mínimos,,
Landseer,https://cdn.royalcanin-weshare-online.io/pGnWsmoBG95Xk-RB2fZ6/v1/bd241bl-hub-landseer-adult-standing?w=320&fm=jpg&auto=compress,"Los landseers son perros grandes, robustos y bien proporcionados. Tienen las patas más largas que las de sus primos, los terranovas negros. El landseer, protector por naturaleza, defenderá a su familia frente a cualquier amenaza y no dudará en cuidar de los niños cuando sea necesario. Como tal, es también un magnífico perro guardián. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XL (>=45 kg),False, Alemania,Muy grande,9–11 años,Paciente,Inteligente,Amoroso,Juguetón,Valiente,,Requiere espacio exterior,,,,,Necesita cuidados moderados,,Un gran perro guardián
Lebrel Irlandés,https://cdn.royalcanin-weshare-online.io/Jvomx2oBIYfdNSoCOBlg/v1/bd76bl-hub-irish-wolfhound-adult-standing?w=320&fm=jpg&auto=compress,"Hasta finales del siglo XVII, estos perros se usaban en Irlanda para cazar lobos y ciervos. Hoy en día, son apreciados como perros de compañía. Sin duda, su peso es inferior y tampoco son de constitución tan sólida como el Gran Danés, pero el Lebrel Irlandés aun así es un perro muy grande e imponente, con una gran masa muscular. El Lebrel Irlandés es un buen perro guardián, dispuesto a proteger a su familia humana ante cualquier amenaza. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XL (>=45 kg),False, Irlanda,Muy grande,8–10 años,Afable,Dócil,Inteligente,Leal,Tranquilo,Equilibrado,Requiere espacio exterior,,,,,Requiere cuidados mínimos,,Un gran perro guardián
Leonberger,https://cdn.royalcanin-weshare-online.io/bvrKsmoBIYfdNSoCIBhP/v1/bd83bl-hub-leonberger-adult-standing?w=320&fm=jpg&auto=compress,"A pesar de su tamaño imponente, el leonberger es un perro dócil y amoroso, lo cual lo convierte en un compañero de familia excelente. Es afable con niños y paciente con otros animales del hogar. El leonberger es inteligente, fuerte y observador, de modo que resulta un perro guardián que identifica rápidamente a los extraños y alerta a sus dueños si sucede cualquier cosa inusual. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XL (>=45 kg),False, Alemania,Muy grande,8–9 años,Equilibrado,Afable,Seguro,Juguetón,Inteligente,,,Necesita un propietario con algo de experiencia,Un gran perro para una familia,,,,,Un gran perro guardián
Mastiff,https://www.purina.es/sites/default/files/styles/ttt_image_original/public/2021-02/BREED%20Hero%20Desktop_0069_mastiff.webp?itok=rhBjs0Vz,"En cuanto al carácter, los Mastiff son una rara combinación de nobleza y coraje. Estos perros tranquilos son cariñosos con sus compañeros humanos y, a pesar de su tamaño, son dóciles con los niños.  Los Mastiff son perros poderosos y de buena complexión que pueden superar el peso de un hombre adulto. Se utilizan en todo el mundo como perros guardianes por su naturaleza alerta y protectora y por su formidable aspecto. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XL (>=45 kg),False, Reino Unido,Muy grande,10–12 años,Cariñoso,Tranquilo,Protector,Tímido,,,Requiere espacio exterior,Necesita un dueño con experiencia,,Necesita poco entrenamiento,,,,
Mastín Del Pirineo,https://cdn.royalcanin-weshare-online.io/-_pyH2YBIYfdNSoCXgfZ/v2/bd280bl-pyrenean-mastiff-adult-standing?w=320&fm=jpg&auto=compress,"Los Mastines del Pirineo son ideales para proteger a personas y propiedades rurales. Estos perros son fáciles de entrenar, afables, tranquilos, nobles y muy inteligentes. Los extraños se encontrarán con un perro valiente y feroz que se mantendrá firme, pase lo que pase; otros perros se encontrarán con una criatura de buen carácter que es muy consciente de su fuerza. Los Mastines del Pirineo son luchadores expertos si es necesario, y aprovechan todas las habilidades que han adquirido como raza en siglos de combate contra los lobos. Su ladrido es grave y bajo, su expresión, alerta. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XL (>=45 kg),False, España,Muy grande,10–12 años,Tranquilo,Dócil,Independiente,Tranquilo,Equilibrado,Sociable,,Necesita un dueño con experiencia,,,,Necesita cuidados moderados,,Un gran perro guardián
